,label,percentage
0.amr,female_south,99.90%
2.mp3,female_south,53.54%
3.mp3,female_south,99.90%
4.wav,female_south,96.94%
5.mp3,female_south,99.86%
8.wav,female_south,99.76%
10.mp3,female_south,99.94%
11.amr,female_south,98.97%
12.amr,female_south,99.25%
13.amr,female_south,99.94%
14.mp3,female_south,99.66%
15.wav,female_south,97.44%
17.amr,female_south,99.88%
19.amr,female_south,97.48%
22.amr,female_south,98.60%
23.amr,female_south,93.94%
24.amr,female_south,99.37%
27.mp3,female_south,73.40%
28.wav,female_south,99.92%
29.wav,female_south,99.47%
31.mp3,female_south,99.76%
32.mp3,female_south,99.95%
33.amr,female_south,99.96%
34.wav,female_south,96.24%
35.amr,female_south,99.96%
36.mp3,female_south,99.78%
39.mp3,female_south,54.21%
42.amr,female_south,99.46%
43.mp3,female_south,99.40%
44.mp3,female_south,99.89%
45.amr,female_south,98.57%
46.amr,female_south,59.17%
47.mp3,female_south,43.49%
48.mp3,female_south,99.91%
49.mp3,female_south,99.62%
51.mp3,female_south,99.90%
52.wav,female_south,99.00%
53.wav,female_south,76.85%
55.mp3,female_south,99.58%
56.amr,female_south,99.82%
59.mp3,female_south,99.94%
61.mp3,female_south,99.87%
62.amr,female_south,99.88%
63.wav,female_south,94.09%
64.amr,female_south,97.89%
65.mp3,female_south,99.74%
66.amr,female_south,99.50%
67.amr,female_south,92.24%
68.amr,female_south,99.91%
69.wav,female_south,98.08%
70.mp3,female_south,98.50%
72.wav,female_south,99.70%
75.amr,female_south,99.94%
76.mp3,female_south,98.96%
78.wav,female_south,99.75%
80.mp3,female_south,96.29%
81.mp3,female_south,83.63%
83.mp3,female_south,98.70%
84.mp3,female_south,99.85%
85.mp3,female_south,99.85%
87.amr,female_south,99.72%
91.mp3,female_south,97.55%
92.amr,female_south,99.43%
93.wav,female_south,81.92%
94.amr,female_south,99.24%
95.mp3,female_south,98.66%
96.mp3,female_south,98.62%
97.mp3,female_south,87.95%
98.mp3,female_south,99.85%
99.mp3,female_south,99.97%
100.mp3,female_south,99.39%
101.amr,female_south,99.96%
103.wav,female_south,99.58%
104.wav,female_south,91.67%
